frame,id,score,x,y,x2,y2
89,sports ball,0.86523765,60,309,108,356
90,sports ball,0.9700327,162,243,210,290
90,sports ball,0.74578124,60,307,110,356
91,sports ball,0.92985606,161,243,210,290
91,sports ball,0.89074653,60,307,110,356
92,sports ball,0.91511965,61,308,110,354
92,sports ball,0.89112633,160,243,209,291
93,sports ball,0.8918917,160,243,209,291
93,sports ball,0.863515,61,306,109,352
94,sports ball,0.9164335,158,243,206,291
94,sports ball,0.790518,60,306,110,355
95,sports ball,0.9850235,158,243,205,291
95,sports ball,0.95578724,61,306,111,355
96,sports ball,0.9860794,158,243,205,289
96,sports ball,0.9670981,62,305,110,353
97,sports ball,0.98644596,156,242,203,289
97,sports ball,0.9807545,62,305,111,353
98,sports ball,0.9888248,61,304,110,351
98,sports ball,0.9738061,155,243,203,290
99,sports ball,0.9892147,61,304,110,351
99,sports ball,0.95549244,155,243,201,288
100,sports ball,0.98799163,61,304,110,351
100,sports ball,0.95842654,151,241,200,290
101,sports ball,0.9942555,62,303,110,350
101,sports ball,0.91372293,150,241,199,290
102,sports ball,0.9896868,65,304,112,350
102,sports ball,0.9043589,151,243,198,290
103,sports ball,0.9897737,63,302,111,350
103,sports ball,0.83003813,150,242,198,290
104,sports ball,0.990126,63,302,111,350
104,sports ball,0.81559014,149,241,198,289
105,sports ball,0.9932562,66,303,113,350
105,sports ball,0.9448616,149,242,195,288
106,sports ball,0.98987913,66,303,113,348
106,sports ball,0.9749146,148,242,193,288
107,sports ball,0.99137175,66,303,113,348
107,sports ball,0.9890261,147,242,193,288
108,sports ball,0.9880136,68,302,113,348
108,sports ball,0.97111976,145,241,193,288
109,sports ball,0.9654656,143,241,190,289
109,sports ball,0.9369161,68,301,113,348
110,sports ball,0.97128254,141,241,190,288
110,sports ball,0.92644525,68,301,113,348
111,sports ball,0.948969,67,300,114,346
111,sports ball,0.91190535,141,240,191,288
112,sports ball,0.839674,68,300,115,347
112,sports ball,0.8111054,141,240,190,288
113,sports ball,0.8364927,68,300,115,347
113,sports ball,0.81572,139,240,188,288
114,sports ball,0.8734367,68,298,115,346
114,sports ball,0.7044893,138,240,186,288
115,sports ball,0.8062979,138,240,186,288
115,sports ball,0.7964209,69,298,116,346
116,sports ball,0.85976017,137,240,185,287
117,sports ball,0.7676242,135,239,181,288
118,sports ball,0.7388528,133,239,180,288
119,sports ball,0.7895682,131,238,179,286
