frame,id,score,x,y,x2,y2
102,sports ball,0.897401,79,422,128,470
103,sports ball,0.9000438,79,423,128,471
103,sports ball,0.87849665,61,320,110,366
104,sports ball,0.91105735,79,424,128,471
104,sports ball,0.90605474,61,317,110,364
105,sports ball,0.9418408,63,316,111,363
105,sports ball,0.7893959,78,425,127,473
106,sports ball,0.9865187,62,315,110,361
106,sports ball,0.7962732,78,425,127,473
107,sports ball,0.9208709,63,313,111,359
107,sports ball,0.7099949,80,426,129,473
108,sports ball,0.76096195,61,310,110,358
109,sports ball,0.85346097,78,428,127,475
109,sports ball,0.8152692,61,309,110,357
110,sports ball,0.94136477,64,308,111,355
110,sports ball,0.8851458,80,430,128,476
111,sports ball,0.95524496,65,306,112,354
111,sports ball,0.910197,80,430,130,478
112,sports ball,0.9789162,65,304,111,352
112,sports ball,0.77091056,80,431,130,480
113,sports ball,0.99159765,66,303,113,350
113,sports ball,0.8045313,81,433,130,480
114,sports ball,0.9765608,68,303,113,348
114,sports ball,0.88449436,81,433,129,481
115,sports ball,0.9063595,79,435,128,481
115,sports ball,0.89502674,67,300,113,346
116,sports ball,0.9837704,82,436,131,482
116,sports ball,0.7933526,68,298,115,346
117,sports ball,0.9807115,82,436,131,482
117,sports ball,0.8113075,68,296,115,343
118,sports ball,0.95313185,82,436,131,483
118,sports ball,0.9009542,68,295,114,342
119,sports ball,0.9595392,81,438,130,483
119,sports ball,0.8245878,69,294,115,340
