frame,id,score,x,y,x2,y2
53,sports ball,0.83465165,261,397,313,445
54,sports ball,0.9379205,320,563,360,611
54,sports ball,0.936977,291,192,341,239
55,sports ball,0.9889176,293,193,341,240
55,sports ball,0.9351278,320,563,360,611
56,sports ball,0.99121547,293,193,341,240
56,sports ball,0.9630392,319,563,360,610
57,sports ball,0.9694267,319,563,360,610
57,sports ball,0.9673255,295,194,343,242
58,sports ball,0.97701675,318,562,360,609
58,sports ball,0.9705682,296,193,343,241
58,kite,0.86213714,260,381,341,440
59,sports ball,0.9835154,318,562,360,610
59,sports ball,0.86260486,298,194,344,242
59,kite,0.7865402,260,380,341,438
60,sports ball,0.97044075,318,561,360,607
60,sports ball,0.8491493,298,195,344,243
60,kite,0.75574845,258,381,341,439
61,sports ball,0.97622174,318,561,360,607
61,kite,0.8503532,259,382,340,438
62,sports ball,0.9423061,317,560,360,608
62,kite,0.8428273,258,383,339,438
63,sports ball,0.9467562,317,560,360,608
63,kite,0.9294049,257,383,340,435
64,sports ball,0.9813036,317,560,360,605
64,kite,0.9332166,258,384,339,435
65,sports ball,0.976025,315,560,360,606
65,kite,0.8954189,258,383,339,435
65,sports ball,0.804121,301,198,350,245
66,sports ball,0.98899287,315,558,360,605
66,kite,0.94203335,258,384,341,434
66,sports ball,0.90011036,302,199,351,246
67,sports ball,0.9911568,315,558,360,605
67,kite,0.94789463,258,383,337,433
67,sports ball,0.8748454,303,200,351,248
68,sports ball,0.9849996,315,557,360,604
68,kite,0.9510864,258,383,338,434
68,sports ball,0.9300706,303,200,351,248
69,sports ball,0.9823667,315,558,360,604
69,sports ball,0.96783835,303,201,350,248
69,kite,0.80577403,261,384,339,436
70,sports ball,0.9818927,314,556,360,603
70,kite,0.9683561,258,382,335,435
70,sports ball,0.9658708,305,201,351,248
71,sports ball,0.98885417,305,201,351,249
71,sports ball,0.98294675,314,556,360,603
71,kite,0.97392696,260,383,337,436
72,sports ball,0.9950399,313,555,360,603
72,sports ball,0.9884085,308,203,353,250
72,kite,0.9817207,258,381,335,435
73,sports ball,0.9945537,313,555,360,603
73,kite,0.9929467,258,380,336,438
73,sports ball,0.9848016,308,203,353,250
74,sports ball,0.99419576,313,555,360,601
74,kite,0.9909156,258,380,335,440
74,sports ball,0.9763358,308,204,355,251
75,sports ball,0.975172,312,555,360,602
75,sports ball,0.9513233,310,204,356,252
75,kite,0.8402011,259,379,334,441
76,sports ball,0.9784199,313,553,360,601
76,kite,0.84099144,259,378,333,442
77,sports ball,0.9799217,313,553,360,601
77,kite,0.76311445,260,376,333,443
77,sports ball,0.738889,309,205,358,254
78,sports ball,0.95379347,311,553,360,601
78,kite,0.7794125,259,376,332,443
78,sports ball,0.7114151,309,205,358,254
79,sports ball,0.95314825,311,553,360,601
79,sports ball,0.8555855,310,206,358,254
79,kite,0.7565308,260,375,332,443
80,sports ball,0.92892647,311,551,360,600
80,sports ball,0.9040733,310,206,360,254
80,kite,0.7692508,260,374,331,444
81,sports ball,0.9358562,312,208,360,255
81,sports ball,0.9311194,311,551,360,600
82,sports ball,0.9003564,312,209,360,256
82,sports ball,0.8870549,310,551,360,600
83,sports ball,0.8958868,310,551,360,600
83,sports ball,0.79050386,314,209,360,256
84,sports ball,0.933332,310,550,358,597
84,sports ball,0.7686426,313,209,359,258
85,sports ball,0.8833868,310,550,358,596
85,sports ball,0.79536265,314,209,359,257
86,sports ball,0.97002226,316,211,360,258
87,sports ball,0.9633958,318,211,360,258
87,sports ball,0.81082445,278,403,324,450
88,sports ball,0.94406337,308,546,355,596
88,sports ball,0.9107104,318,212,360,260
88,sports ball,0.7962204,277,405,323,450
88,sports ball,0.7053109,260,365,307,412
89,sports ball,0.9697929,259,365,306,412
89,sports ball,0.9556291,319,213,360,260
89,sports ball,0.94700104,308,546,355,596
89,sports ball,0.946732,276,405,323,451
90,sports ball,0.992769,259,364,307,411
90,sports ball,0.95588565,309,546,356,594
90,sports ball,0.9388639,275,404,322,451
90,sports ball,0.8149713,320,213,360,260
91,sports ball,0.99442333,259,363,306,410
91,sports ball,0.9694262,309,546,355,595
91,sports ball,0.9516086,273,405,321,452
91,sports ball,0.78624874,320,213,360,261
92,sports ball,0.99259406,259,362,306,409
92,sports ball,0.98953885,309,546,355,593
92,sports ball,0.9802343,273,406,321,453
92,sports ball,0.8218035,321,213,360,261
93,sports ball,0.98898566,309,546,355,593
93,sports ball,0.96376747,273,407,320,454
93,sports ball,0.9206839,259,361,306,409
94,sports ball,0.99566156,309,545,355,591
94,sports ball,0.90370286,271,408,320,455
94,sports ball,0.7799269,259,360,306,408
95,sports ball,0.994911,308,545,354,591
95,sports ball,0.7791412,258,359,306,407
95,sports ball,0.7594057,271,410,320,457
95,sports ball,0.75591725,323,215,360,264
96,sports ball,0.99655116,308,544,354,591
96,sports ball,0.7587294,323,216,360,265
97,sports ball,0.9968555,308,544,354,591
97,sports ball,0.8239863,325,217,360,263
98,sports ball,0.9902659,306,543,353,590
98,sports ball,0.76921654,325,220,360,266
99,sports ball,0.9890492,306,543,353,590
99,sports ball,0.70474213,258,356,306,403
100,sports ball,0.93038756,304,541,353,589
100,sports ball,0.8802316,257,354,304,403
100,sports ball,0.74759203,268,413,315,461
101,sports ball,0.9700141,258,355,305,401
101,sports ball,0.94312286,303,541,351,588
101,sports ball,0.921088,268,414,315,462
102,sports ball,0.9813292,258,353,304,400
102,sports ball,0.95121205,303,540,350,587
102,sports ball,0.9182519,268,414,315,462
103,sports ball,0.956617,258,352,304,400
103,sports ball,0.95061976,303,540,350,587
103,sports ball,0.87857777,266,415,313,463
104,sports ball,0.97315997,303,540,351,586
104,sports ball,0.8700911,258,351,306,399
104,sports ball,0.818114,264,415,312,464
105,sports ball,0.9743745,303,540,351,586
105,sports ball,0.8957449,258,350,305,398
105,sports ball,0.8760575,265,416,313,465
105,person,0.72811925,330,223,360,270
106,sports ball,0.9597081,302,538,350,585
106,sports ball,0.9225321,263,418,312,465
106,sports ball,0.9217738,258,349,305,398
106,person,0.75913286,331,223,360,270
107,sports ball,0.96323276,302,538,350,585
107,sports ball,0.9237794,261,419,310,466
107,sports ball,0.8833849,258,348,305,396
107,person,0.7537086,331,223,360,270
108,sports ball,0.9462439,262,421,311,467
108,sports ball,0.9442424,302,538,350,584
108,sports ball,0.9354172,258,347,305,395
109,sports ball,0.9415995,302,538,350,583
109,sports ball,0.9403448,258,346,305,395
109,sports ball,0.9379088,261,421,311,469
110,sports ball,0.97334504,258,345,305,393
110,sports ball,0.93692344,302,536,351,583
110,sports ball,0.86497384,261,421,309,468
110,sports ball,0.7279343,335,226,360,272
111,sports ball,0.9768306,258,345,305,393
111,sports ball,0.89138615,261,423,309,470
111,sports ball,0.7996285,301,536,349,585
112,sports ball,0.98991185,258,344,303,390
112,sports ball,0.932634,301,536,349,583
112,sports ball,0.922193,260,425,308,470
112,sports ball,0.8286283,336,226,360,273
113,sports ball,0.9917129,258,344,305,390
113,sports ball,0.9277303,259,424,307,471
113,sports ball,0.9241127,301,536,349,583
113,sports ball,0.8222889,337,228,360,273
114,sports ball,0.9834636,258,342,304,389
114,sports ball,0.89912695,300,535,348,582
114,sports ball,0.8673872,260,426,308,472
114,sports ball,0.7622878,335,228,360,273
115,sports ball,0.97247285,259,425,306,473
115,sports ball,0.8832921,300,535,348,582
115,sports ball,0.79602057,335,230,360,276
115,sports ball,0.7613302,258,341,305,388
116,sports ball,0.97062916,258,426,305,475
116,sports ball,0.89835393,258,340,305,387
116,sports ball,0.85984975,299,533,347,581
116,sports ball,0.8244657,335,230,360,276
117,sports ball,0.96444416,258,427,306,475
117,sports ball,0.960153,300,534,348,581
117,sports ball,0.92124164,258,340,305,386
118,sports ball,0.96640044,257,429,304,476
118,sports ball,0.9012412,256,338,302,385
118,sports ball,0.79490775,300,532,349,581
119,sports ball,0.9355576,256,336,302,384
119,sports ball,0.9294342,255,430,302,476
119,sports ball,0.780781,300,532,349,581
