frame,id,score,x,y,x2,y2
1,sports ball,1,233.32547,141.00522,233.3254750,141.0052250
1,sports ball,1,503.26068,149.66588,503.2606850,149.6658850
1,sports ball,1,275.92468,47.965317,275.9246850,47.96531750
2,sports ball,1,234.23402,140.90172,234.2340250,140.9017250
2,sports ball,1,502.2864,150.77689,502.286450,150.7768950
2,sports ball,1,275.05948,48.50656,275.0594850,48.5065650
3,sports ball,1,235.14258,140.79822,235.1425850,140.7982250
3,sports ball,1,501.31213,151.8879,501.3121350,151.887950
3,sports ball,1,274.19427,49.047806,274.1942750,49.04780650
4,sports ball,1,236.05113,140.69472,236.0511350,140.6947250
4,sports ball,1,500.33786,152.9989,500.3378650,152.998950
4,sports ball,1,273.32907,49.58905,273.3290750,49.5890550
5,sports ball,1,236.95969,140.59122,236.9596950,140.5912250
5,sports ball,1,499.3636,154.10991,499.363650,154.1099150
5,sports ball,1,272.46387,50.130295,272.4638750,50.13029550
6,sports ball,1,237.86824,140.48772,237.8682450,140.4877250
6,sports ball,1,498.3893,155.22092,498.389350,155.2209250
6,sports ball,1,271.59866,50.67154,271.5986650,50.6715450
7,sports ball,1,238.7768,140.38422,238.776850,140.3842250
7,sports ball,1,497.41504,156.33192,497.4150450,156.3319250
7,sports ball,1,270.73346,51.212784,270.7334650,51.21278450
8,sports ball,1,239.68535,140.28072,239.6853550,140.2807250
8,sports ball,1,496.44077,157.44293,496.4407750,157.4429350
8,sports ball,1,269.86826,51.75403,269.8682650,51.7540350
9,sports ball,1,240.5939,140.17722,240.593950,140.1772250
9,sports ball,1,495.4665,158.55394,495.466550,158.5539450
9,sports ball,1,269.00305,52.295273,269.0030550,52.29527350
10,sports ball,1,241.50246,140.07372,241.5024650,140.0737250
10,sports ball,1,494.49222,159.66495,494.4922250,159.6649550
10,sports ball,1,268.13785,52.836517,268.1378550,52.83651750
11,sports ball,1,242.41101,139.97021,242.4110150,139.9702150
11,sports ball,1,493.51794,160.77596,493.5179450,160.7759650
11,sports ball,1,267.27264,53.37776,267.2726450,53.3777650
12,sports ball,1,243.31956,139.86671,243.3195650,139.8667150
12,sports ball,1,492.54367,161.88696,492.5436750,161.8869650
12,sports ball,1,266.40744,53.919006,266.4074450,53.91900650
13,sports ball,1,244.22812,139.76321,244.2281250,139.7632150
13,sports ball,1,491.5694,162.99797,491.569450,162.9979750
